Absolute way;Relative way;Class
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/3172.jpg ;  dataset_all_names/3172.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/1135.jpg ;  dataset_all_names/1135.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/7648.jpg ;  dataset_all_names/7648.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/4257.jpg ;  dataset_all_names/4257.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/2503.jpg ;  dataset_all_names/2503.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/1230.jpg ;  dataset_all_names/1230.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/2432.jpg ;  dataset_all_names/2432.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/8760.jpg ;  dataset_all_names/8760.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/4684.jpg ;  dataset_all_names/4684.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/6783.jpg ;  dataset_all_names/6783.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/0778.jpg ;  dataset_all_names/0778.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/5788.jpg ;  dataset_all_names/5788.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/2009.jpg ;  dataset_all_names/2009.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/8722.jpg ;  dataset_all_names/8722.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/5894.jpg ;  dataset_all_names/5894.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/1816.jpg ;  dataset_all_names/1816.jpg ;tiger
/Users/margogusarova/PycharmProjects/python2.1/dataset_random_num/5399.jpg ;  dataset_all_names/5399.jpg ;tiger
